id_venda,data_venda,cliente,produto,categoria,regiao,quantidade,preco_unitario
1,2026-12-26,Cliente_027,Tijela,Tupperware,Centro-Oeste,8,120.0
2,2026-05-03,Cliente_025,Copo,Utencilios,Centro-Oeste,4,2200.0
3,2026-12-03,Cliente_011,Tijela,Tupperware,Norte,1,120.0
4,2026-12-27,Cliente_002,Tijela,Tupperware,Norte,4,120.0
6,2026-10-22,Cliente_026,Xicara,Utencilios,Nordeste,10,1800.0
7,2026-07-02,Cliente_011,Copo,Utencilios,Nordeste,8,2200.0
8,2026-06-25,Cliente_010,Panela,Cozinha,Norte,7,3500.0
10,2026-04-08,Cliente_001,Panela,Cozinha,Sul,6,3500.0
11,2026-11-14,Cliente_003,Xicara,Utencilios,Nordeste,1,1800.0
12,2026-02-02,Cliente_020,Panela,Cozinha,Nordeste,3,3500.0
13,2026-12-04,Cliente_007,Xicara,Utencilios,Norte,1,1800.0
14,2026-10-19,Cliente_014,Copo,Utencilios,Nordeste,6,2200.0
15,2026-03-06,Cliente_001,Xicara,Utencilios,Sul,1,1800.0
16,2026-10-25,Cliente_004,Garfo,Cozinha,Norte,1,1200.0
17,2026-08-16,Cliente_017,Pote,Tupperware,Sul,9,250.0
18,2026-07-14,Cliente_026,Tijela,Tupperware,Sul,6,120.0
20,2026-10-04,Cliente_010,Tijela,Tupperware,Centro-Oeste,9,120.0
21,2026-12-01,Cliente_010,Copo,Utencilios,Nordeste,10,2200.0
22,2026-07-26,Cliente_025,Tijela,Tupperware,Sudeste,3,120.0
23,2026-05-15,Cliente_014,Garfo,Cozinha,Norte,4,1200.0
27,2026-09-07,Cliente_011,Pote,Tupperware,Centro-Oeste,5,250.0
28,2026-04-13,Cliente_021,Xicara,Utencilios,Centro-Oeste,5,1800.0
29,2026-07-17,Cliente_014,Garfo,Cozinha,Sul,10,1200.0
30,2026-05-25,Cliente_004,Tijela,Tupperware,Sudeste,3,120.0
32,2026-12-10,Cliente_013,Panela,Cozinha,Norte,5,3500.0
34,2026-07-12,Cliente_018,Copo,Utencilios,Nordeste,9,2200.0
36,2026-11-15,Cliente_030,Copo,Utencilios,Centro-Oeste,2,2200.0
38,2026-12-22,Cliente_013,Pote,Tupperware,Sul,3,250.0
39,2026-12-12,Cliente_028,Garfo,Cozinha,Sudeste,3,1200.0
40,2026-10-11,Cliente_025,Pote,Tupperware,Nordeste,1,250.0
41,2026-05-24,Cliente_022,Copo,Utencilios,Centro-Oeste,3,2200.0
42,2026-10-04,Cliente_014,Garfo,Cozinha,Sul,10,1200.0
43,2026-10-27,Cliente_021,Pote,Tupperware,Nordeste,1,250.0
44,2026-07-07,Cliente_006,Pote,Tupperware,Sudeste,8,250.0
45,2026-04-30,Cliente_004,Garfo,Cozinha,Centro-Oeste,1,1200.0
46,2026-02-26,Cliente_001,Garfo,Cozinha,Norte,1,1200.0
48,2026-06-14,Cliente_007,Tijela,Tupperware,Sul,4,120.0
49,2026-12-09,Cliente_008,Copo,Utencilios,Nordeste,2,2200.0
50,2026-11-29,Cliente_004,Pote,Tupperware,Sul,10,250.0
51,2026-09-14,Cliente_018,Tijela,Tupperware,Sul,3,120.0
53,2026-07-27,Cliente_002,Xicara,Utencilios,Sudeste,7,1800.0
54,2026-05-04,Cliente_006,Garfo,Cozinha,Sudeste,5,1200.0
55,2026-01-06,Cliente_017,Xicara,Utencilios,Centro-Oeste,6,1800.0
56,2026-12-07,Cliente_017,Copo,Utencilios,Norte,9,2200.0
57,2026-11-24,Cliente_008,Pote,Tupperware,Centro-Oeste,3,250.0
59,2026-06-01,Cliente_029,Tijela,Tupperware,Norte,4,120.0
60,2026-12-30,Cliente_008,Tijela,Tupperware,Centro-Oeste,10,120.0
63,2026-10-30,Cliente_029,Tijela,Tupperware,Norte,4,120.0
64,2026-05-04,Cliente_030,Xicara,Utencilios,Centro-Oeste,10,1800.0
65,2026-08-05,Cliente_021,Garfo,Cozinha,Sul,9,1200.0
66,2026-12-25,Cliente_028,Tijela,Tupperware,Sudeste,2,120.0
67,2026-09-26,Cliente_030,Tijela,Tupperware,Sul,7,120.0
68,2026-07-15,Cliente_012,Pote,Tupperware,Centro-Oeste,9,250.0
69,2026-06-28,Cliente_004,Copo,Utencilios,Centro-Oeste,1,2200.0
70,2026-03-16,Cliente_012,Pote,Tupperware,Sudeste,1,250.0
71,2026-07-08,Cliente_002,Copo,Utencilios,Sul,1,2200.0
72,2026-10-15,Cliente_002,Garfo,Cozinha,Sudeste,3,1200.0
73,2026-05-08,Cliente_004,Copo,Utencilios,Centro-Oeste,7,2200.0
74,2026-10-22,Cliente_026,Panela,Cozinha,Sudeste,2,3500.0
76,2026-05-13,Cliente_010,Xicara,Utencilios,Sudeste,10,1800.0
78,2026-03-01,Cliente_022,Copo,Utencilios,Sudeste,3,2200.0
80,2026-10-04,Cliente_009,Panela,Cozinha,Nordeste,2,3500.0
81,2026-04-05,Cliente_012,Garfo,Cozinha,Norte,3,1200.0
82,2026-01-29,Cliente_015,Pote,Tupperware,Sul,9,250.0
83,2026-09-03,Cliente_007,Copo,Utencilios,Centro-Oeste,8,2200.0
85,2026-06-20,Cliente_026,Pote,Tupperware,Sul,4,250.0
87,2026-02-01,Cliente_020,Xicara,Utencilios,Sudeste,6,1800.0
88,2026-09-28,Cliente_007,Panela,Cozinha,Sul,7,3500.0
89,2026-08-17,Cliente_030,Garfo,Cozinha,Sudeste,3,1200.0
90,2026-03-15,Cliente_027,Pote,Tupperware,Nordeste,8,250.0
91,2026-02-09,Cliente_005,Xicara,Utencilios,Centro-Oeste,3,1800.0
92,2026-04-05,Cliente_013,Tijela,Tupperware,Norte,9,120.0
93,2026-02-19,Cliente_026,Xicara,Utencilios,Sul,9,1800.0
94,2026-01-28,Cliente_021,Copo,Utencilios,Nordeste,2,2200.0
95,2026-08-28,Cliente_022,Garfo,Cozinha,Sul,3,1200.0
96,2026-09-20,Cliente_015,Panela,Cozinha,Centro-Oeste,8,3500.0
97,2026-06-17,Cliente_001,Xicara,Utencilios,Norte,6,1800.0
