id_venda,data_venda,cliente,produto,categoria,regiao,quantidade,preco_unitario
1,2026-12-26,Cliente_027,Mouse,Periféricos,Centro-Oeste,8.0,120.0
2,2026-05-03,Cliente_025,Smartphone,Celulares,Centro-Oeste,4.0,2200.0
3,2026-12-03,Cliente_011,Mouse,Periféricos,Norte,1.0,120.0
4,2026-12-27,Cliente_002,Mouse,Periféricos,Norte,4.0,120.0
5,2026-08-24,Cliente_025,Notebook,Computadores,Sul,3.0,21000.0
6,2026-10-22,Cliente_026,Tablet,Celulares,Nordeste,10.0,1800.0
7,2026-07-02,Cliente_011,Smartphone,Celulares,Nordeste,8.0,2200.0
8,2026-06-25,Cliente_010,Notebook,Computadores,Norte,7.0,3500.0
9,2026-01-12,Cliente_001,Notebook,Computadores,Norte,10.0,3500.0
10,2026-04-08,Cliente_001,Notebook,Computadores,Sul,6.0,3500.0
11,2026-11-14,Cliente_003,Tablet,Celulares,Nordeste,1.0,1800.0
12,2026-02-02,Cliente_020,Notebook,Computadores,Nordeste,3.0,3500.0
13,2026-12-04,Cliente_007,Tablet,Celulares,Norte,1.0,1800.0
14,2026-10-19,Cliente_014,Smartphone,Celulares,Nordeste,6.0,2200.0
15,2026-03-06,Cliente_001,Tablet,Celulares,Sul,1.0,1800.0
16,2026-10-25,Cliente_004,Monitor,Computadores,Norte,1.0,1200.0
17,2026-08-16,Cliente_017,Teclado,Periféricos,Sul,9.0,250.0
18,2026-07-14,Cliente_026,Mouse,Periféricos,Sul,6.0,120.0
19,2026-09-08,Cliente_030,Notebook,Computadores,Nordeste,10.0,3500.0
20,2026-10-04,Cliente_010,Mouse,Periféricos,Centro-Oeste,9.0,120.0
21,2026-12-01,Cliente_010,Smartphone,Celulares,Nordeste,10.0,2200.0
22,2026-07-26,Cliente_025,  Mouse ,Periféricos,Sudeste,3.0,120.0
23,2026-05-15,Cliente_014,Monitor,Computadores,Norte,4.0,1200.0
24,2026-10-01,Cliente_008,Tablet,Celulares,Norte,,1800.0
25,2026-02-26,Cliente_001,Tablet,Celulares,Centro-Oeste,3.0,
26,2026-10-01,Cliente_006,Mouse,Periféricos,Sudeste,,120.0
27,2026-09-07,Cliente_011,Teclado,Periféricos,Centro-Oeste,5.0,250.0
28,2026-04-13,Cliente_021,Tablet,Celulares,Centro-Oeste,5.0,1800.0
29,2026-07-17,Cliente_014,Monitor,Computadores,Sul,10.0,1200.0
30,2026-05-25,Cliente_004,Mouse,Periféricos,Sudeste,3.0,120.0
31,2026-08-03,Cliente_017,  Monitor ,Computadores,Centro-Oeste,,1200.0
32,2026-12-10,Cliente_013,Notebook,Computadores,Norte,5.0,3500.0
33,2026-06-17,Cliente_001,Monitor,Computadores,Centro-Oeste,6.0,
34,2026-07-12,Cliente_018,Smartphone,Celulares,Nordeste,9.0,2200.0
35,DATA INVALIDA,Cliente_030,Smartphone,Celulares,Centro-Oeste,10.0,2200.0
36,2026-11-15,Cliente_030,Smartphone,Celulares,Centro-Oeste,2.0,2200.0
37,2026-08-02,Cliente_024,Teclado,Periféricos,Norte,,250.0
38,2026-12-22,Cliente_013,Teclado,Periféricos,Sul,3.0,250.0
39,2026-12-12,Cliente_028,Monitor,Computadores,Sudeste,3.0,1200.0
40,2026-10-11,Cliente_025,Teclado,Periféricos,Nordeste,1.0,250.0
41,2026-05-24,Cliente_022,Smartphone,Celulares,Centro-Oeste,3.0,2200.0
42,2026-10-04,Cliente_014,Monitor,Computadores,Sul,10.0,1200.0
43,2026-10-27,Cliente_021,Teclado,Periféricos,Nordeste,1.0,250.0
44,2026-07-07,Cliente_006,Teclado,Periféricos,Sudeste,8.0,250.0
45,2026-04-30,Cliente_004,Monitor,Computadores,Centro-Oeste,1.0,1200.0
46,2026-02-26,Cliente_001,Monitor,Computadores,Norte,1.0,1200.0
47,2026-06-01,Cliente_025,Monitor,Computadores,Sul,24.0,1200.0
48,2026-06-14,Cliente_007,Mouse,Periféricos,Sul,4.0,120.0
49,2026-12-09,Cliente_008,Smartphone,Celulares,Nordeste,2.0,2200.0
50,2026-11-29,Cliente_004,Teclado,Periféricos,Sul,10.0,250.0
