id_venda,data_venda,cliente,produto,categoria,regiao,quantidade,preco_unitario,receita_total,mes,trimestre,ano,faixa_receita_item
1,2024-01-13,Cliente_019,Mouse,Periféricos,Centro-Oeste,2,120.0,240.0,1,Q1,2024,Baixo Valor
2,2024-02-17,Cliente_008,Notebook,Computadores,Centro-Oeste,1,3500.0,3500.0,2,Q1,2024,Médio Valor
3,2024-01-04,Cliente_004,Teclado,Periféricos,Sudeste,5,250.0,1250.0,1,Q1,2024,Médio Valor
4,2024-07-02,Cliente_013,Monitor,Computadores,Sudeste,2,1200.0,2400.0,7,Q3,2024,Médio Valor
5,2024-11-17,Cliente_010,Teclado,Periféricos,Sudeste,5,250.0,1250.0,11,Q4,2024,Médio Valor
6,2024-07-13,Cliente_030,Smartphone,Celulares,Sudeste,2,2200.0,4400.0,7,Q3,2024,Médio Valor
7,2024-09-30,Cliente_022,Teclado,Periféricos,Nordeste,3,250.0,750.0,9,Q3,2024,Médio Valor
8,2024-01-17,Cliente_007,Notebook,Computadores,Centro-Oeste,4,3500.0,14000.0,1,Q1,2024,Alto Valor
9,2024-03-14,Cliente_013,Monitor,Computadores,Nordeste,8,1200.0,9600.0,3,Q1,2024,Alto Valor
10,2024-09-17,Cliente_020,Smartphone,Celulares,Sudeste,3,2200.0,6600.0,9,Q3,2024,Alto Valor
12,2024-02-27,Cliente_025,Tablet,Celulares,Sul,6,1800.0,10800.0,2,Q1,2024,Alto Valor
13,2024-11-16,Cliente_025,Teclado,Periféricos,Norte,2,250.0,500.0,11,Q4,2024,Médio Valor
15,2024-09-05,Cliente_006,Notebook,Computadores,Nordeste,2,3500.0,7000.0,9,Q3,2024,Alto Valor
16,2024-08-04,Cliente_022,Teclado,Periféricos,Nordeste,10,250.0,2500.0,8,Q3,2024,Médio Valor
17,2024-08-19,Cliente_003,Monitor,Computadores,Sudeste,9,1200.0,10800.0,8,Q3,2024,Alto Valor
18,2024-01-17,Cliente_030,Smartphone,Celulares,Norte,2,2200.0,4400.0,1,Q1,2024,Médio Valor
19,2024-05-04,Cliente_015,Teclado,Periféricos,Sudeste,8,250.0,2000.0,5,Q2,2024,Médio Valor
20,2024-02-01,Cliente_014,Mouse,Periféricos,Sul,2,120.0,240.0,2,Q1,2024,Baixo Valor
21,2024-05-07,Cliente_018,Tablet,Celulares,Sudeste,8,1800.0,14400.0,5,Q2,2024,Alto Valor
23,2024-08-04,Cliente_007,Monitor,Computadores,Sudeste,5,1200.0,6000.0,8,Q3,2024,Alto Valor
24,2024-02-01,Cliente_017,Teclado,Periféricos,Sudeste,9,250.0,2250.0,2,Q1,2024,Médio Valor
25,2024-10-31,Cliente_002,Smartphone,Celulares,Norte,2,2200.0,4400.0,10,Q4,2024,Médio Valor
